Plot Title: 9730047			
#	"Date Time, GMT-07:00"	"AC Curr, Amps (LGR S/N: 9730047, SEN S/N: 9730047)"	End Of File (LGR S/N: 9730047)
612	7/7/2016 17:53	10.447	1.32
613	7/7/2016 17:56	10.418	1.32
614	7/7/2016 17:59	0.01	0
615	7/7/2016 18:02	0.01	0
616	7/7/2016 18:05	0.01	0
617	7/7/2016 18:08	0.01	0
618	7/7/2016 18:11	0.01	0
619	7/7/2016 18:14	0.01	0
620	7/7/2016 18:17	0.01	0
621	7/7/2016 18:20	0.01	0
622	7/7/2016 18:23	0.01	0
623	7/7/2016 18:26	0.01	0
624	7/7/2016 18:29	0.01	0
625	7/7/2016 18:32	0.01	0
626	7/7/2016 18:35	0.01	0
627	7/7/2016 18:38	0.01	0
628	7/7/2016 18:41	0.01	0
629	7/7/2016 18:44	0.01	0
630	7/7/2016 18:47	0.01	0
631	7/7/2016 18:50	0.01	0
632	7/7/2016 18:53	0.01	0
633	7/7/2016 18:56	0.01	0
634	7/7/2016 18:59	0.01	0
635	7/7/2016 19:02	0.01	0
636	7/7/2016 19:05	0.01	0
637	7/7/2016 19:08	0.01	0
638	7/7/2016 19:11	0.01	0
639	7/7/2016 19:14	0.01	0
640	7/7/2016 19:17	0.01	0
641	7/7/2016 19:20	0.01	0
642	7/7/2016 19:23	0.01	0
643	7/7/2016 19:26	0.01	0
644	7/7/2016 19:29	0.01	0
645	7/7/2016 19:32	0.01	0
646	7/7/2016 19:35	0.01	0
647	7/7/2016 19:38	0.01	0
648	7/7/2016 19:41	0.01	0
649	7/7/2016 19:44	0.01	0
650	7/7/2016 19:47	0.01	0
651	7/7/2016 19:50	0.01	0
652	7/7/2016 19:53	0.01	0
653	7/7/2016 19:56	0.01	0
654	7/7/2016 19:59	0.01	0
655	7/7/2016 20:02	0.01	0
656	7/7/2016 20:05	0.01	0
657	7/7/2016 20:08	0.01	0
658	7/7/2016 20:11	0.01	0
659	7/7/2016 20:14	0.01	0
660	7/7/2016 20:17	0.01	0
661	7/7/2016 20:20	0.01	0
662	7/7/2016 20:23	0.01	0
663	7/7/2016 20:26	0.01	0
664	7/7/2016 20:29	0.01	0
665	7/7/2016 20:32	0.01	0
666	7/7/2016 20:35	0.01	0
667	7/7/2016 20:38	0.01	0
668	7/7/2016 20:41	0.01	0
669	7/7/2016 20:44	0.01	0
670	7/7/2016 20:47	0.01	0
671	7/7/2016 20:50	0.01	0
672	7/7/2016 20:53	0.01	0
673	7/7/2016 20:56	0.01	0
674	7/7/2016 20:59	0.01	0
675	7/7/2016 21:02	0.01	0
676	7/7/2016 21:05	0.01	0
677	7/7/2016 21:08	0.01	0
678	7/7/2016 21:11	0.01	0
679	7/7/2016 21:14	0.01	0
680	7/7/2016 21:17	0.01	0
681	7/7/2016 21:20	0.01	0
682	7/7/2016 21:23	0.01	0
683	7/7/2016 21:26	0.01	0
684	7/7/2016 21:29	0.01	0
685	7/7/2016 21:32	0.01	0
686	7/7/2016 21:35	0.01	0
687	7/7/2016 21:38	0.01	0
688	7/7/2016 21:41	0.01	0
689	7/7/2016 21:44	0.01	0
690	7/7/2016 21:47	0.01	0
691	7/7/2016 21:50	0.01	0
692	7/7/2016 21:53	0.01	0
693	7/7/2016 21:56	0.01	0
694	7/7/2016 21:59	0.01	0
695	7/7/2016 22:02	0.01	0
696	7/7/2016 22:05	0.01	0
697	7/7/2016 22:08	0.01	0
698	7/7/2016 22:11	0.01	0
699	7/7/2016 22:14	0.01	0
700	7/7/2016 22:17	0.01	0
701	7/7/2016 22:20	0.01	0
702	7/7/2016 22:23	0.01	0
703	7/7/2016 22:26	0.01	0
704	7/7/2016 22:29	0.01	0
705	7/7/2016 22:32	0.01	0
706	7/7/2016 22:35	0.01	0
707	7/7/2016 22:38	0.01	0
